Tank,N & P,Size,Treatment,Schisto,Week,Snail,Total_Biomass,Cercarial_production,Infected_abundance,Sampling_Effort,Eggs,Phyto_F,Peri_F,Snail_density,Biomass_density
13,Low,Intermediate,Low-Intermediate,Yes,1,13,138.006119,0,0,6,2,784.3333333,6089.333333,7,69.0030595
14,High,Small,High-Small,Yes,1,11,66.15141393,0,0,6,0,2895,3892,6,33.07570697
15,Low,Large,Low-Large,No,1,14,402.768418,0,0,6,2,1562.333333,4991.333333,7,201.384209
16,Low,Intermediate,Low-Intermediate,No,1,11,103.4185013,0,0,6,5,1767.333333,2296.666667,6,51.70925065
17,Low,Large,Low-Large,Yes,1,13,352.4891654,0,0,6,10,1276.666667,2421,7,176.2445827
18,High,Large,High-Large,Yes,1,26,617.7950902,0,0,6,37,1850.666667,2335,13,308.8975451
19,Low,Large,Low-Large,Yes,1,11,179.577017,0,0,6,0,1721.333333,4970,6,89.7885085
20,Low,Intermediate,Low-Intermediate,No,1,14,265.1892146,0,0,6,1,1320,2609.666667,7,132.5946073
21,High,Intermediate,High-Intermediate,Yes,1,26,189.1812518,0,0,6,1,2593,3058.666667,13,94.5906259
22,High,Small,High-Small,Yes,1,11,86.33777738,0,0,6,0,4357,9340.333333,6,43.16888869
23,High,Intermediate,High-Intermediate,No,1,11,92.06906254,0,0,6,0,1904.666667,3283.666667,6,46.03453127
24,High,Intermediate,High-Intermediate,Yes,1,17,121.4325024,0,0,6,0,1440,1007,9,60.7162512
25,Low,Small,Low-Small,Yes,1,14,121.1585167,0,0,6,0,840,1420.666667,7,60.57925835
26,Low,Small,Low-Small,Yes,1,9,12.61031065,0,0,6,0,1638,4804,5,6.305155325
27,Low,Large,Low-Large,Yes,1,15,275.6538425,0,0,6,0,1967.666667,9022.666667,8,137.8269213
28,High,Small,High-Small,Yes,1,16,15.53196896,0,0,6,0,477.3333333,10113.66667,8,7.76598448
29,Low,Small,Low-Small,No,1,9,11.58700877,0,0,6,0,1308,7240.666667,5,5.793504385
30,Low,Small,Low-Small,Yes,1,5,6.818447817,0,0,6,0,1272.333333,3218.666667,3,3.409223909
31,High,Large,High-Large,Yes,1,21,627.8913991,0,0,6,21,1577.666667,1026.333333,11,313.9456996
32,High,Small,High-Small,Yes,1,10,13.97539638,0,0,6,0,1491.666667,5752.666667,5,6.98769819
33,Low,Intermediate,Low-Intermediate,Yes,1,15,123.8412991,0,0,6,0,1444.666667,4354.666667,8,61.92064955
34,Low,Intermediate,Low-Intermediate,Yes,1,14,98.28097363,0,0,6,1,1158,5052.666667,7,49.14048682
35,High,Large,High-Large,No,1,20,507.5410598,0,0,6,1,1492,5826.333333,10,253.7705299
36,Low,Large,Low-Large,Yes,1,16,385.5444357,0,0,6,1,1297.333333,5779.666667,8,192.7722179
37,High,Intermediate,High-Intermediate,Yes,1,15,120.7658088,0,0,6,0,1532.666667,1700,8,60.3829044
38,High,Small,High-Small,No,1,8,11.1482813,0,0,6,0,1236.666667,11664.66667,4,5.57414065
